# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
ABCA13	unnamed (-79990)
PLXDC1	unnamed (-2071)
POM121L2	unnamed (-21959)
POU2F1	unnamed (+234493)
PPP2R1B	unnamed (+37294)
PPP2R3C	unnamed (+229)
PRDM2	unnamed (+76977)
PRICKLE2	unnamed (-30487)
PRKRIR	unnamed (+145150)
PROM2	unnamed (-34067)
PRR3	unnamed (-40411), unnamed (-36050)
PRRC2A	unnamed (+914), unnamed (+1169)
PSMA6	unnamed (-158136), unnamed (-158110), unnamed (+40591)
PSMB7	unnamed (+105517), unnamed (+129443), unnamed (+155424)
PTMA	unnamed (-93151), unnamed (-93135)
RASA3	unnamed (+32315)
RCBTB2	unnamed (+25914)
REEP3	unnamed (+32457)
RERE	unnamed (+293), unnamed (+461), unnamed (+408047)
RHOBTB2	unnamed (+27010), unnamed (+27019)
RPP21	unnamed (+171344), unnamed (+175705)
RPS18	unnamed (+311)
RSPH6A	unnamed (+290)
RTF1	unnamed (+65312)
RXRA	unnamed (+105284)
SARNP	unnamed (-660)
SCNM1	unnamed (+71)
SEC16A	unnamed (-62103)
SEPT9	unnamed (+196442)
SF3A3	unnamed (-4444)
SH2B2	unnamed (-132241)
SH2B3	unnamed (+29292), unnamed (+29380)
SH3BP5	unnamed (+63436)
SHE	unnamed (+67351)
SHROOM1	unnamed (+500)
SIK2	unnamed (+126697)
SIX5	unnamed (+1013), unnamed (+1079)
SKP1	unnamed (-302), unnamed (+843)
SLC25A33	unnamed (-110019)
SLC29A4	unnamed (+70835)
SLC2A5	unnamed (-57831)
SLC39A13	unnamed (-19566)
SLC39A8	unnamed (+31)
SLC45A1	unnamed (+91591)
SLC48A1	unnamed (+27011), unnamed (+39665)
SLC7A5	unnamed (+16130)
SLC9B1	unnamed (-583)
SMARCC2	unnamed (+606)
SNX27	unnamed (-70224), unnamed (+321), unnamed (+365)
SORT1	unnamed (+6795)
SPAG9	unnamed (+74158)
SPI1	unnamed (-10672)
SPSB1	unnamed (+136583)
SUN2	unnamed (-1030)
TAPBP	unnamed (-2553), unnamed (+331)
TBL1XR1	unnamed (-161667)
TCF19	unnamed (-227)
TGFB1	unnamed (+29399)
TGIF1	unnamed (-167725)
TJAP1	unnamed (+4531), unnamed (+4682)
TM9SF2	unnamed (-200)
TMEM116	unnamed (+3996)
TMEM258	unnamed (-905), unnamed (+241)
TMEM51	unnamed (+3956)
TNFRSF10B	unnamed (+54743), unnamed (+54752)
TNNT2	unnamed (+87549)
TNRC18	unnamed (+69781)
TNRC6C	unnamed (-527203)
TOB1	unnamed (-180362)
TOP2A	unnamed (+63)
TPRG1	unnamed (-535604)
TRAF1	unnamed (+2498), unnamed (+3064), unnamed (+3076)
TRIM8	unnamed (+535)
TUFT1	unnamed (+1553)
UCKL1	unnamed (+48069)
UPP1	unnamed (+2826)
UQCC2	unnamed (+38730)
VARS	unnamed (+3080)
VPS33A	unnamed (+171)
VPS37B	unnamed (-69763), unnamed (-2546)
VPS52	unnamed (-427)
VWA7	unnamed (-15579)
WISP1	unnamed (+27113)
WNT11	unnamed (-29260)
YIPF3	unnamed (+34785), unnamed (+34936)
ZBTB22	unnamed (+970)
ZC3H10	unnamed (+57)
ZCCHC6	unnamed (-140631)
ZDHHC12	unnamed (-352)
ZER1	unnamed (+473)
ZHX2	unnamed (+82533)
ZKSCAN8	unnamed (+76771)
ZNF165	unnamed (-111)
ZNF184	unnamed (-247796)
ZNF2	unnamed (+74951)
ZNF225	unnamed (-1455)
ZNF391	unnamed (-54589)
ZNF622	unnamed (-43565)
ZNHIT6	unnamed (+125889)
ZSCAN9	unnamed (-6566)
ZSWIM4	unnamed (+39184)

